Date,Holiday,NextDayHoliday,IsWeekend,Month,KielerWeek,IsNewYearsEve,IsHalloween,t,lag_1,roll7_mean,roll28_mean,year_sin1,year_cos1,year_sin2,year_cos2,Revenue,Product_2,Product_3,Product_4,Product_5,Product_6,Product
2013-07-01,True,True,False,7,False,False,False,0,,,,0.0,1.0,0.0,1.0,148.828353112183,0.0,0.0,0.0,0.0,0.0,1
2013-07-02,True,True,False,7,False,False,False,1,148.828353112183,,,0.0172015754182605,0.9998520419557736,0.034398060613608,0.9994082116062598,159.79375714468,0.0,0.0,0.0,0.0,0.0,1
2013-07-03,True,True,False,7,False,False,False,2,159.79375714468,,,0.034398060613608,0.9994082116062598,0.0687554084811394,0.9976335468520452,111.885593514353,0.0,0.0,0.0,0.0,0.0,1
2013-07-04,True,True,False,7,False,False,False,3,111.885593514353,,,0.0515843668694083,0.9986686402879996,0.1030313790431787,0.9946781061893646,168.864940979931,0.0,0.0,0.0,0.0,0.0,1
2013-07-05,True,True,False,7,False,False,False,4,168.864940979931,,,0.0687554084811394,0.9976335468520452,0.1371854040566005,0.9905453876091832,171.280754117955,0.0,0.0,0.0,0.0,0.0,1
2013-07-06,True,True,True,7,False,False,False,5,171.280754117955,,,0.0859061042613327,0.9963032375991964,0.1711770596101998,0.985240282501282,174.552359998476,0.0,0.0,0.0,0.0,0.0,1
2013-07-07,True,True,True,7,False,False,False,6,174.552359998476,,,0.1030313790431787,0.9946781061893646,0.2049661139694953,0.9787690698649216,92.6377553788373,0.0,0.0,0.0,0.0,0.0,1
2013-07-08,True,True,False,7,False,False,False,7,92.6377553788373,146.8347877494879,,0.1201261651823505,0.9927586335250792,0.2385125751940764,0.9711394088771652,135.500244042392,0.0,0.0,0.0,0.0,0.0,1
2013-07-09,True,True,False,7,False,False,False,8,135.500244042392,144.9307721680892,,0.1371854040566005,0.9905453876091832,0.2717767384711357,0.9623603298276544,136.048382778344,0.0,0.0,0.0,0.0,0.0,1
2013-07-10,True,True,False,7,False,False,False,9,136.048382778344,141.5385758300412,,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676,135.132314289581,0.0,0.0,0.0,0.0,0.0,1
2013-07-11,True,True,False,7,False,False,False,10,135.132314289581,144.85953594078802,,0.1711770596101998,0.985240282501282,0.3373010691361842,0.9413968285264122,138.549392636714,0.0,0.0,0.0,0.0,0.0,1
2013-07-12,True,True,False,7,False,False,False,11,138.549392636714,140.5287433203285,,0.1880994176117975,0.9821499931752292,0.3694836834473831,0.9292372181882051,101.447511461298,0.0,0.0,0.0,0.0,0.0,1
2013-07-13,True,True,True,7,False,False,False,12,101.447511461298,130.55256579794892,,0.2049661139694953,0.9787690698649216,0.4012289854475009,0.9159777842484876,141.233309883732,0.0,0.0,0.0,0.0,0.0,1
2013-07-14,True,True,True,7,False,False,False,13,141.233309883732,125.79270149584262,,0.2217721575564818,0.975098513039961,0.4324994021339788,0.901634220265486,112.524365708762,0.0,0.0,0.0,0.0,0.0,1
2013-07-15,True,True,False,7,False,False,False,14,112.524365708762,128.633645828689,,0.2385125751940764,0.9711394088771652,0.4632579225674917,0.88622350294858,161.264677322182,0.0,0.0,0.0,0.0,0.0,1
2013-07-16,True,True,False,7,False,False,False,15,161.264677322182,132.31427915437328,,0.2551824131233728,0.966892928939152,0.4934681416772373,0.8697638720650646,116.821358174215,0.0,0.0,0.0,0.0,0.0,1
2013-07-17,True,True,False,7,False,False,False,16,116.821358174215,129.56756135378342,,0.2717767384711357,0.9623603298276544,0.5230943033491326,0.8522748088519838,150.572919592838,0.0,0.0,0.0,0.0,0.0,1
2013-07-18,True,True,False,7,False,False,False,17,150.572919592838,131.77336211139158,,0.2882906407095177,0.957542952811672,0.5521013427459208,0.8337770129585915,101.90072129658,0.0,0.0,0.0,0.0,0.0,1
2013-07-19,True,True,False,7,False,False,False,18,101.90072129658,126.53783763422958,,0.3047192331091634,0.9524422234305676,0.580454927809098,0.8142923779467267,161.63511518654,0.0,0.0,0.0,0.0,0.0,1
