Date,Holiday,NextDayHoliday,IsWeekend,Month,KielerWeek,IsNewYearsEve,IsHalloween,t,lag_1,Lag7_Total_Revenue,roll7_mean,roll28_mean,year_sin1,year_cos1,year_sin2,year_cos2,Total Revenue
2013-07-01,True,True,False,7,False,False,False,0,,,,,0.0,1.0,0.0,1.0,1269.24910731998
2013-07-02,True,True,False,7,False,False,False,1,1269.24910731998,,,,0.017201575418260506,0.9998520419557735,0.03439806061360801,0.9994082116062598,1430.0083973267333
2013-07-03,True,True,False,7,False,False,False,2,1430.0083973267333,,,,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451,1124.2748941201457
2013-07-04,True,True,False,7,False,False,False,3,1124.2748941201457,,,,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646,1184.3095670178782
2013-07-05,True,True,False,7,False,False,False,4,1184.3095670178782,,,,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833,1288.0230602120182
2013-07-06,True,True,True,7,False,False,False,5,1288.0230602120182,,,,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282,1540.5298975581647
2013-07-07,True,True,True,7,False,False,False,6,1540.5298975581647,,,,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216,1532.3729274131556
2013-07-08,True,True,False,7,False,False,False,7,1532.3729274131556,1269.24910731998,1338.3954072811537,,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653,1203.9216946232323
2013-07-09,True,True,False,7,False,False,False,8,1203.9216946232323,1430.0083973267333,1329.062919753047,,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545,1385.1123293468459
2013-07-10,True,True,False,7,False,False,False,9,1385.1123293468459,1124.2748941201457,1322.64919575592,,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676,1384.7659389826279
2013-07-11,True,True,False,7,False,False,False,10,1384.7659389826279,1184.3095670178782,1359.8622021648462,,0.17117705961019986,0.985240282501282,0.3373010691361842,0.9413968285264122,1326.8616313035402
2013-07-12,True,True,False,7,False,False,False,11,1326.8616313035402,1288.0230602120182,1380.2267827770834,,0.18809941761179758,0.9821499931752291,0.3694836834473831,0.9292372181882051,1354.717013539311
2013-07-13,True,True,True,7,False,False,False,12,1354.717013539311,1540.5298975581647,1389.7544903952682,,0.20496611396949532,0.9787690698649216,0.4012289854475009,0.9159777842484877,1661.8613816349975
2013-07-14,True,True,True,7,False,False,False,13,1661.8613816349975,1532.3729274131556,1407.0875595491016,,0.22177215755648186,0.975098513039961,0.4324994021339788,0.901634220265486,1786.553765281086
2013-07-15,True,True,False,7,False,False,False,14,1786.553765281086,1203.9216946232323,1443.3991078159486,,0.23851257519407648,0.9711394088771653,0.4632579225674917,0.88622350294858,1481.963405858342
