Date,Holiday,NextDayHoliday,IsWeekend,Month,KielerWeek,IsNewYearsEve,IsHalloween,t,lag_1,roll7_mean,roll28_mean,year_sin1,year_cos1,year_sin2,year_cos2,Revenue,Product_2,Product_3,Product_4,Product_5,Product_6
2013-07-01,1,1,0,7,0,0,0,0,1269.2491,1338.3954,1476.8021,0.0,1.0,0.0,1.0,148.82835,0,0,0,0,0
2013-07-01,1,1,0,7,0,0,0,0,1269.2491,1338.3954,1476.8021,0.0,1.0,0.0,1.0,535.85626,1,0,0,0,0
2013-07-01,1,1,0,7,0,0,0,0,1269.2491,1338.3954,1476.8021,0.0,1.0,0.0,1.0,201.19843,0,1,0,0,0
2013-07-01,1,1,0,7,0,0,0,0,1269.2491,1338.3954,1476.8021,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1
2013-07-01,1,1,0,7,0,0,0,0,1269.2491,1338.3954,1476.8021,0.0,1.0,0.0,1.0,317.47586,0,0,0,1,0
2013-07-01,1,1,0,7,0,0,0,0,1269.2491,1338.3954,1476.8021,0.0,1.0,0.0,1.0,65.89017,0,0,1,0,0
2013-07-02,1,1,0,7,0,0,0,1,1269.2491,1338.3954,1476.8021,0.017201575,0.99985206,0.03439806,0.9994082,0.0,0,0,0,0,1
2013-07-02,1,1,0,7,0,0,0,1,1269.2491,1338.3954,1476.8021,0.017201575,0.99985206,0.03439806,0.9994082,74.543915,0,0,1,0,0
2013-07-02,1,1,0,7,0,0,0,1,1269.2491,1338.3954,1476.8021,0.017201575,0.99985206,0.03439806,0.9994082,383.6287,0,0,0,1,0
2013-07-02,1,1,0,7,0,0,0,1,1269.2491,1338.3954,1476.8021,0.017201575,0.99985206,0.03439806,0.9994082,265.26126,0,1,0,0,0
2013-07-02,1,1,0,7,0,0,0,1,1269.2491,1338.3954,1476.8021,0.017201575,0.99985206,0.03439806,0.9994082,546.78076,1,0,0,0,0
2013-07-02,1,1,0,7,0,0,0,1,1269.2491,1338.3954,1476.8021,0.017201575,0.99985206,0.03439806,0.9994082,159.79376,0,0,0,0,0
2013-07-03,1,1,0,7,0,0,0,2,1430.0084,1338.3954,1476.8021,0.03439806,0.9994082,0.06875541,0.9976336,69.262726,0,0,1,0,0
2013-07-03,1,1,0,7,0,0,0,2,1430.0084,1338.3954,1476.8021,0.03439806,0.9994082,0.06875541,0.9976336,111.8856,0,0,0,0,0
2013-07-03,1,1,0,7,0,0,0,2,1430.0084,1338.3954,1476.8021,0.03439806,0.9994082,0.06875541,0.9976336,0.0,0,0,0,0,1
2013-07-03,1,1,0,7,0,0,0,2,1430.0084,1338.3954,1476.8021,0.03439806,0.9994082,0.06875541,0.9976336,305.52307,0,0,0,1,0
